target,split,logloss,method,tau,power,max_days,shrink
Q1,interleaved_offset2,0.6589381891788568,exp,21.0,1.0,14.0,0.12
Q1,late7,0.861474887096637,exp,21.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6744449841047105,exp,21.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7153773592604448,exp,21.0,1.0,21.0,0.0
Q1,late7,0.933406857103729,exp,21.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.674370915379413,exp,21.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.6743014598208934,exp,21.0,1.0,21.0,0.03
Q1,late7,0.803214440675263,exp,21.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6743555041126388,exp,21.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.667588692755069,exp,21.0,1.0,21.0,0.07
Q1,late7,0.7835886129831585,exp,21.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.6744646446925046,exp,21.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.6631297767722413,exp,21.0,1.0,21.0,0.12
Q1,late7,0.7702217566876508,exp,21.0,1.0,21.0,0.12
Q1,interleaved_offset1,0.6797918473271573,exp,21.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.706312400340997,exp,21.0,1.0,35.0,0.0
Q1,late7,0.9370513917618001,exp,21.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6798690370618619,exp,21.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6659054443661705,exp,21.0,1.0,35.0,0.03
Q1,late7,0.8067963648630909,exp,21.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6800159087803356,exp,21.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6600318259807179,exp,21.0,1.0,35.0,0.07
Q1,late7,0.7870851467948101,exp,21.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6802689061093139,exp,21.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.656542823257938,exp,21.0,1.0,35.0,0.12
Q1,late7,0.7736077761962203,exp,21.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6793022171667633,exp,21.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.6551392079914371,exp,21.0,1.0,56.0,0.0
Q1,late7,0.7487013447629076,exp,21.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6795614240778464,exp,21.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6544503047133386,exp,21.0,1.0,56.0,0.03
Q1,late7,0.746676568426952,exp,21.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6799315738238263,exp,21.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6537161232229818,exp,21.0,1.0,56.0,0.07
Q1,late7,0.7441192133039102,exp,21.0,1.0,56.0,0.07
