target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
S1,blend_linear_svc_rule_0.5,linear_svc,0.1,0.717948717948718,0.8253968253968254,0.9145299145299145,0.23885423885423884,last_quarter_by_subject
S1,blend_linear_svc_rule_0.75,linear_svc,0.2,0.7264957264957265,0.8297872340425531,0.905982905982906,0.23030723030723033,last_quarter_by_subject
S1,model_svc_rbf,svc_rbf,0.55,0.7521367521367521,0.8397790055248618,0.8461538461538461,0.1704781704781705,last_quarter_by_subject
S1,blend_svc_rbf_rule_0.25,svc_rbf,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_svc_rbf_rule_0.5,svc_rbf,0.25,0.7264957264957265,0.8333333333333334,0.9401709401709402,0.2644952644952645,last_quarter_by_subject
S1,blend_svc_rbf_rule_0.75,svc_rbf,0.4,0.7264957264957265,0.8279569892473119,0.8888888888888888,0.21321321321321318,last_quarter_by_subject
S1,model_random_forest,random_forest,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_random_forest_rule_0.25,random_forest,0.1,0.7350427350427351,0.837696335078534,0.9316239316239316,0.255948255948256,last_quarter_by_subject
S1,blend_random_forest_rule_0.5,random_forest,0.2,0.7350427350427351,0.837696335078534,0.9316239316239316,0.255948255948256,last_quarter_by_subject
S1,blend_random_forest_rule_0.75,random_forest,0.3,0.7350427350427351,0.837696335078534,0.9316239316239316,0.255948255948256,last_quarter_by_subject
S1,model_extra_trees,extra_trees,0.4,0.7264957264957265,0.8297872340425531,0.905982905982906,0.23030723030723033,last_quarter_by_subject
S1,blend_extra_trees_rule_0.25,extra_trees,0.1,0.7264957264957265,0.8315789473684211,0.9230769230769231,0.24740124740124747,last_quarter_by_subject
S1,blend_extra_trees_rule_0.5,extra_trees,0.2,0.7264957264957265,0.8315789473684211,0.9230769230769231,0.24740124740124747,last_quarter_by_subject
S1,blend_extra_trees_rule_0.75,extra_trees,0.3,0.7264957264957265,0.8315789473684211,0.9230769230769231,0.24740124740124747,last_quarter_by_subject
S1,model_hist_gradient_boosting,hist_gradient_boosting,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.1,0.717948717948718,0.8235294117647057,0.8974358974358975,0.2217602217602218,last_quarter_by_subject
S1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,model_mlp,mlp,0.05,0.7094017094017094,0.8111111111111111,0.8376068376068376,0.16193116193116197,last_quarter_by_subject
S1,blend_mlp_rule_0.25,mlp,0.1,0.7521367521367521,0.8397790055248618,0.8461538461538461,0.1704781704781705,last_quarter_by_subject
S1,blend_mlp_rule_0.5,mlp,0.15,0.7606837606837606,0.8461538461538461,0.8547008547008547,0.179025179025179,last_quarter_by_subject
S1,blend_mlp_rule_0.75,mlp,0.1,0.7435897435897436,0.8404255319148936,0.905982905982906,0.23030723030723033,last_quarter_by_subject
S1,model_lightgbm,lightgbm,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
