fold,target,submission_strategy,model_name,shrink_alpha,logloss
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.75,0.7385049472658809
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,1.0,0.7643927400648804
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.0,0.7021005506647676
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.15,0.69619355967357
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.25,0.6927050262266877
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.35,0.6895688585583551
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.5,0.6855192387206329
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,0.75,0.6805274591195208
last_quarter_by_subject,Q1,meta_rule_extra_trees,extra_trees,1.0,0.6778350755333398
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.0,0.7021005506647676
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.15,0.7022705171078878
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.25,0.7033790867205886
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.35,0.7053042845399446
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.5,0.7097892813287092
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,0.75,0.7219341197499577
last_quarter_by_subject,Q1,meta_rule_lightgbm,lightgbm,1.0,0.7410589114474623
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.0,0.7021005506647676
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.15,0.6962946233692533
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.25,0.6927928220263831
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.35,0.6895780294936906
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.5,0.685282723168355
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,0.75,0.6795020685807773
last_quarter_by_subject,Q1,meta_rule_catboost,catboost,1.0,0.6754318455070267
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.0,0.7021005506647676
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.15,0.7007164842929396
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.25,0.7018875918927606
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.35,0.7048110523390664
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.5,0.7127563873352774
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.75,0.7374796793233208
last_quarter_by_subject,Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,1.0,0.7843229600483296
